player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
Frank Kaminsky,26.1,0.441,0.195,0.502,3.2,15.8,13.5,1.2,1.5,8.0,21.8,-0.8,-0.7,3.98286,16.691994,6.9426,CHO,7
Garrett Temple,26.6,0.509,0.171,0.545,2.2,10.0,14.5,2.5,1.5,14.4,14.2,-0.3,0.6,5.76688,12.721184,17.816148,SAC,6
Gary Harris,31.3,0.4,0.21,0.611,3.0,8.0,13.6,1.9,0.3,9.8,18.4,3.1,-1.6,2.6011552,17.5593,21.545355,DEN,3
Gerald Henderson,23.2,0.313,0.298,0.529,2.2,10.0,10.5,1.2,0.7,9.0,17.9,-1.8,-1.2,5.2922448,4.79544,22.716744,PHI,7
Giannis Antetokounmpo,35.6,0.143,0.486,0.599,5.9,22.6,26.6,2.3,4.7,13.3,28.3,4.1,3.5,5.3222,1.122824,48.45516,MIL,12
Glenn Robinson,20.7,0.37,0.225,0.564,4.5,14.6,4.7,1.4,1.2,9.1,12.8,-1.2,-0.2,1.5302682,5.027616,7.29675,IND,9
Goran Dragic,33.7,0.257,0.335,0.575,2.7,9.9,29.0,1.8,0.4,14.1,27.1,3.4,-0.7,2.4133581,4.962325,88.788042,MIA,8
Gordon Hayward,34.5,0.324,0.371,0.595,2.3,15.4,18.2,1.5,0.6,9.4,27.6,4.2,0.0,1.567266,9.7911,95.50635,UTA,11
Gorgui Dieng,32.4,0.065,0.253,0.555,8.1,20.5,8.6,1.7,3.1,12.7,14.0,-0.5,2.2,4.4960832,0.309096,9.284544,MIN,0
Greg Monroe,22.5,0.006,0.329,0.572,10.8,23.1,17.3,2.6,1.8,14.4,24.3,0.5,1.5,5.50458,0.0,0.8316,MIL,4
Harrison Barnes,35.5,0.173,0.22,0.541,3.7,13.2,7.8,1.2,0.5,6.8,25.3,-0.7,-1.2,4.410165,4.3452,87.31296,DAL,7
Hassan Whiteside,32.6,0.0,0.368,0.579,12.8,35.3,3.8,1.1,5.0,12.0,22.7,-2.0,1.5,5.4908832,0.0,8.07828,MIA,4
Ian Clark,14.8,0.376,0.134,0.575,2.3,9.1,11.2,1.7,0.6,10.7,19.5,-0.6,-1.4,0.24864,2.848112,10.88022,GSW,2
Iman Shumpert,25.5,0.534,0.184,0.536,2.3,9.9,7.8,1.6,1.1,12.9,13.9,-1.3,0.0,1.630368,11.05731,27.833505,CLE,9
Isaiah Thomas,33.8,0.439,0.441,0.625,1.9,7.0,32.6,1.4,0.4,10.7,34.0,8.8,-3.3,7.7950236,9.326772,126.274096,BOS,5
Isaiah Whitehead,22.5,0.293,0.222,0.487,2.1,9.7,17.7,1.2,1.7,20.3,18.2,-4.3,-0.6,3.75921,1.4931,12.789,BRK,10
Ish Smith,24.1,0.14,0.136,0.477,1.1,12.4,32.5,1.6,1.4,12.4,20.5,-1.2,0.4,1.5092384,0.538876,41.603348,DET,2
